unit,sex,age,country,year,life_expectancy,flag,flag_detail
YR,F,Y65,AT,2021,21.2,e,estimated
YR,F,Y65,BE,2021,22.2,e,estimated
YR,F,Y65,BG,2021,15.6,e,estimated
YR,F,Y65,CH,2021,23.1,e,estimated
YR,F,Y65,CY,2021,21.2,e,estimated
YR,F,Y65,CZ,2021,18.7,e,estimated
YR,F,Y65,DK,2021,20.9,e,estimated
YR,F,Y65,EE,2021,19.7,e,estimated
YR,F,Y65,EL,2021,20.8,e,estimated
YR,F,Y65,ES,2021,23.5,e,estimated
YR,F,Y65,EU27_2020,2021,20.9,e,estimated
YR,F,Y65,FI,2021,22.2,e,estimated
YR,F,Y65,FR,2021,23.4,e,estimated
YR,F,Y65,HR,2021,18.2,e,estimated
YR,F,Y65,HU,2021,17.5,e,estimated
YR,F,Y65,IS,2021,21.9,e,estimated
YR,F,Y65,IT,2021,22.3,e,estimated
YR,F,Y65,LI,2021,23.5,e,estimated
YR,F,Y65,LT,2021,18.3,e,estimated
YR,F,Y65,LU,2021,22.3,e,estimated
YR,F,Y65,LV,2021,17.7,e,estimated
YR,F,Y65,MT,2021,22.0,e,estimated
YR,F,Y65,NL,2021,20.8,e,estimated
YR,F,Y65,NO,2021,21.8,e,estimated
YR,F,Y65,PL,2021,18.4,e,estimated
YR,F,Y65,PT,2021,21.7,e,estimated
YR,F,Y65,RO,2021,16.5,e,estimated
YR,F,Y65,SE,2021,22.2,e,estimated
YR,F,Y65,SI,2021,21.3,e,estimated
YR,F,Y65,SK,2021,17.3,e,estimated
YR,F,Y_LT1,AT,2021,83.8,e,estimated
YR,F,Y_LT1,BE,2021,84.4,e,estimated
YR,F,Y_LT1,BG,2021,75.1,e,estimated
YR,F,Y_LT1,CH,2021,85.9,e,estimated
YR,F,Y_LT1,CY,2021,83.9,e,estimated
YR,F,Y_LT1,CZ,2021,80.6,e,estimated
YR,F,Y_LT1,DK,2021,83.3,e,estimated
YR,F,Y_LT1,EE,2021,81.3,e,estimated
YR,F,Y_LT1,EL,2021,83.0,e,estimated
YR,F,Y_LT1,ES,2021,86.2,e,estimated
YR,F,Y_LT1,EU27_2020,2021,82.8,e,estimated
YR,F,Y_LT1,FI,2021,84.7,e,estimated
YR,F,Y_LT1,FR,2021,85.5,e,estimated
YR,F,Y_LT1,HR,2021,79.9,e,estimated
YR,F,Y_LT1,HU,2021,78.0,e,estimated
YR,F,Y_LT1,IS,2021,84.5,e,estimated
YR,F,Y_LT1,IT,2021,85.1,e,estimated
YR,F,Y_LT1,LI,2021,86.4,e,estimated
YR,F,Y_LT1,LT,2021,79.0,e,estimated
YR,F,Y_LT1,LU,2021,84.9,e,estimated
YR,F,Y_LT1,LV,2021,78.2,e,estimated
YR,F,Y_LT1,MT,2021,84.5,e,estimated
YR,F,Y_LT1,NL,2021,83.1,e,estimated
YR,F,Y_LT1,NO,2021,84.7,e,estimated
YR,F,Y_LT1,PL,2021,79.7,e,estimated
YR,F,Y_LT1,PT,2021,84.3,e,estimated
YR,F,Y_LT1,RO,2021,76.7,e,estimated
YR,F,Y_LT1,SE,2021,85.0,e,estimated
YR,F,Y_LT1,SI,2021,84.0,e,estimated
YR,F,Y_LT1,SK,2021,78.3,e,estimated
YR,M,Y65,AT,2021,18.0,e,estimated
YR,M,Y65,BE,2021,18.6,e,estimated
YR,M,Y65,BG,2021,11.7,e,estimated
YR,M,Y65,CH,2021,20.2,e,estimated
YR,M,Y65,CY,2021,18.4,e,estimated
YR,M,Y65,CZ,2021,14.7,e,estimated
YR,M,Y65,DK,2021,18.3,e,estimated
YR,M,Y65,EE,2021,14.5,e,estimated
YR,M,Y65,EL,2021,17.8,e,estimated
YR,M,Y65,ES,2021,19.1,e,estimated
YR,M,Y65,EU27_2020,2021,17.3,e,estimated
YR,M,Y65,FI,2021,18.7,e,estimated
YR,M,Y65,FR,2021,19.3,e,estimated
YR,M,Y65,HR,2021,14.4,e,estimated
YR,M,Y65,HU,2021,13.4,e,estimated
YR,M,Y65,IS,2021,20.5,e,estimated
YR,M,Y65,IT,2021,19.0,e,estimated
YR,M,Y65,LI,2021,21.2,e,estimated
YR,M,Y65,LT,2021,13.2,e,estimated
YR,M,Y65,LU,2021,19.1,e,estimated
YR,M,Y65,LV,2021,12.8,e,estimated
YR,M,Y65,MT,2021,19.7,e,estimated
YR,M,Y65,NL,2021,18.4,e,estimated
YR,M,Y65,NO,2021,19.8,e,estimated
YR,M,Y65,PL,2021,14.1,e,estimated
YR,M,Y65,PT,2021,17.8,e,estimated
YR,M,Y65,RO,2021,12.7,e,estimated
YR,M,Y65,SE,2021,19.6,e,estimated
YR,M,Y65,SI,2021,17.2,e,estimated
YR,M,Y65,SK,2021,13.4,e,estimated
YR,M,Y_LT1,AT,2021,78.8,e,estimated
YR,M,Y_LT1,BE,2021,79.5,e,estimated
YR,M,Y_LT1,BG,2021,68.1,e,estimated
YR,M,Y_LT1,CH,2021,81.9,e,estimated
YR,M,Y_LT1,CY,2021,79.8,e,estimated
YR,M,Y_LT1,CZ,2021,74.3,e,estimated
YR,M,Y_LT1,DK,2021,79.6,e,estimated
YR,M,Y_LT1,EE,2021,72.4,e,estimated
YR,M,Y_LT1,EL,2021,77.5,e,estimated
YR,M,Y_LT1,ES,2021,80.3,e,estimated
